"postal","nuts3_code","nuts2_code","nuts1_code"
"AB10","UKM50","UKM5","UKM"
"AB11","UKM50","UKM5","UKM"
"AB12","UKM50","UKM5","UKM"
"AB13","UKM50","UKM5","UKM"
"AB14","UKM50","UKM5","UKM"
"AB15","UKM50","UKM5","UKM"
"AB16","UKM50","UKM5","UKM"
"AB21","UKM50","UKM5","UKM"
"AB22","UKM50","UKM5","UKM"
"AB23","UKM50","UKM5","UKM"
"AB24","UKM50","UKM5","UKM"
"AB25","UKM50","UKM5","UKM"
"AB30","UKM50","UKM5","UKM"
"AB31","UKM50","UKM5","UKM"
"AB32","UKM50","UKM5","UKM"
"AB33","UKM50","UKM5","UKM"
"AB34","UKM50","UKM5","UKM"
"AB35","UKM50","UKM5","UKM"
"AB36","UKM50","UKM5","UKM"
"AB37","UKM62","UKM6","UKM"
"AB38","UKM62","UKM6","UKM"
"AB39","UKM50","UKM5","UKM"
"AB41","UKM50","UKM5","UKM"
"AB42","UKM50","UKM5","UKM"
"AB43","UKM50","UKM5","UKM"
"AB44","UKM50","UKM5","UKM"
"AB45","UKM50","UKM5","UKM"
"AB51","UKM50","UKM5","UKM"
"AB52","UKM50","UKM5","UKM"
"AB53","UKM50","UKM5","UKM"
"AB54","UKM50","UKM5","UKM"
"AB55","UKM62","UKM6","UKM"
"AB56","UKM62","UKM6","UKM"
"AB99","UKM50","UKM5","UKM"
"AL1","UKH23","UKH2","UKH"
"AL10","UKH23","UKH2","UKH"
"AL2","UKH23","UKH2","UKH"
"AL3","UKH23","UKH2","UKH"
"AL4","UKH23","UKH2","UKH"
"AL5","UKH23","UKH2","UKH"
"AL6","UKH23","UKH2","UKH"
"AL7","UKH23","UKH2","UKH"
"AL8","UKH23","UKH2","UKH"
"AL9","UKH23","UKH2","UKH"
"B1","UKG31","UKG3","UKG"
"B10","UKG31","UKG3","UKG"
"B11","UKG31","UKG3","UKG"
"B12","UKG31","UKG3","UKG"
"B13","UKG31","UKG3","UKG"
"B14","UKG31","UKG3","UKG"
"B15","UKG31","UKG3","UKG"
"B16","UKG31","UKG3","UKG"
"B17","UKG31","UKG3","UKG"
"B18","UKG31","UKG3","UKG"
"B19","UKG31","UKG3","UKG"
"B2","UKG31","UKG3","UKG"
"B20","UKG31","UKG3","UKG"
"B21","UKG31","UKG3","UKG"
"B23","UKG31","UKG3","UKG"
"B24","UKG31","UKG3","UKG"
"B25","UKG31","UKG3","UKG"
"B26","UKG31","UKG3","UKG"
"B27","UKG31","UKG3","UKG"
"B28","UKG31","UKG3","UKG"
"B29","UKG31","UKG3","UKG"
"B3","UKG31","UKG3","UKG"
"B30","UKG31","UKG3","UKG"
"B31","UKG31","UKG3","UKG"
"B32","UKG31","UKG3","UKG"
"B33","UKG31","UKG3","UKG"
"B34","UKG31","UKG3","UKG"
"B35","UKG31","UKG3","UKG"
"B36","UKG31","UKG3","UKG"
"B37","UKG32","UKG3","UKG"
"B38","UKG31","UKG3","UKG"
"B4","UKG31","UKG3","UKG"
"B40","UKG32","UKG3","UKG"
"B42","UKG31","UKG3","UKG"
"B43","UKG37","UKG3","UKG"
"B44","UKG31","UKG3","UKG"
"B45","UKG31","UKG3","UKG"
"B46","UKG13","UKG1","UKG"
"B47","UKG12","UKG1","UKG"
"B48","UKG12","UKG1","UKG"
"B49","UKG13","UKG1","UKG"
"B5","UKG31","UKG3","UKG"
"B50","UKG13","UKG1","UKG"
"B6","UKG31","UKG3","UKG"
"B60","UKG12","UKG1","UKG"
"B61","UKG12","UKG1","UKG"
"B62","UKG36","UKG3","UKG"
"B63","UKG36","UKG3","UKG"
"B64","UKG37","UKG3","UKG"
"B65","UKG37","UKG3","UKG"
"B66","UKG37","UKG3","UKG"
"B67","UKG37","UKG3","UKG"
"B68","UKG37","UKG3","UKG"
"B69","UKG37","UKG3","UKG"
"B7","UKG31","UKG3","UKG"
"B70","UKG37","UKG3","UKG"
"B71","UKG37","UKG3","UKG"
"B72","UKG31","UKG3","UKG"
"B73","UKG31","UKG3","UKG"
"B74","UKG31","UKG3","UKG"
"B75","UKG31","UKG3","UKG"
"B76","UKG31","UKG3","UKG"
"B77","UKG24","UKG2","UKG"
"B78","UKG13","UKG1","UKG"
"B79","UKG24","UKG2","UKG"
"B8","UKG31","UKG3","UKG"
"B80","UKG13","UKG1","UKG"
"B9","UKG31","UKG3","UKG"
"B90","UKG32","UKG3","UKG"
"B91","UKG32","UKG3","UKG"
"B92","UKG32","UKG3","UKG"
"B93","UKG32","UKG3","UKG"
"B94","UKG13","UKG1","UKG"
"B95","UKG13","UKG1","UKG"
"B96","UKG12","UKG1","UKG"
"B97","UKG12","UKG1","UKG"
"B98","UKG12","UKG1","UKG"
"B99","UKG31","UKG3","UKG"
"BA1","UKK12","UKK1","UKK"
"BA10","UKK23","UKK2","UKK"
"BA11","UKK23","UKK2","UKK"
"BA12","UKK15","UKK1","UKK"
"BA13","UKK15","UKK1","UKK"
"BA14","UKK15","UKK1","UKK"
"BA15","UKK15","UKK1","UKK"
"BA16","UKK23","UKK2","UKK"
"BA2","UKK12","UKK1","UKK"
"BA20","UKK23","UKK2","UKK"
"BA21","UKK23","UKK2","UKK"
"BA22","UKK23","UKK2","UKK"
"BA3","UKK23","UKK2","UKK"
"BA4","UKK23","UKK2","UKK"
"BA5","UKK23","UKK2","UKK"
"BA6","UKK23","UKK2","UKK"
"BA7","UKK23","UKK2","UKK"
"BA8","UKK23","UKK2","UKK"
"BA9","UKK23","UKK2","UKK"
"BB1","UKD41","UKD4","UKD"
"BB10","UKD46","UKD4","UKD"
"BB11","UKD46","UKD4","UKD"
"BB12","UKD46","UKD4","UKD"
"BB18","UKD46","UKD4","UKD"
"BB2","UKD41","UKD4","UKD"
"BB3","UKD41","UKD4","UKD"
"BB4","UKD46","UKD4","UKD"
"BB5","UKD46","UKD4","UKD"
"BB6","UKD46","UKD4","UKD"
"BB7","UKD45","UKD4","UKD"
"BB8","UKD46","UKD4","UKD"
"BB9","UKD46","UKD4","UKD"
"BB94","UKD46","UKD4","UKD"
"BD1","UKE41","UKE4","UKE"
"BD10","UKE41","UKE4","UKE"
"BD11","UKE42","UKE4","UKE"
"BD12","UKE41","UKE4","UKE"
"BD13","UKE41","UKE4","UKE"
"BD14","UKE41","UKE4","UKE"
"BD15","UKE41","UKE4","UKE"
"BD16","UKE41","UKE4","UKE"
"BD17","UKE41","UKE4","UKE"
"BD18","UKE41","UKE4","UKE"
"BD19","UKE44","UKE4","UKE"
"BD2","UKE41","UKE4","UKE"
"BD20","UKE41","UKE4","UKE"
"BD21","UKE41","UKE4","UKE"
"BD22","UKE41","UKE4","UKE"
"BD23","UKE22","UKE2","UKE"
"BD24","UKE22","UKE2","UKE"
"BD3","UKE41","UKE4","UKE"
"BD4","UKE41","UKE4","UKE"
"BD5","UKE41","UKE4","UKE"
"BD6","UKE41","UKE4","UKE"
"BD7","UKE41","UKE4","UKE"
"BD8","UKE41","UKE4","UKE"
"BD9","UKE41","UKE4","UKE"
"BD97","UKE41","UKE4","UKE"
"BD98","UKE41","UKE4","UKE"
"BD99","UKE41","UKE4","UKE"
"BH1","UKK21","UKK2","UKK"
"BH10","UKK21","UKK2","UKK"
"BH11","UKK21","UKK2","UKK"
"BH12","UKK21","UKK2","UKK"
"BH13","UKK21","UKK2","UKK"
"BH14","UKK21","UKK2","UKK"
"BH15","UKK21","UKK2","UKK"
"BH16","UKK22","UKK2","UKK"
"BH17","UKK21","UKK2","UKK"
"BH18","UKK21","UKK2","UKK"
"BH19","UKK22","UKK2","UKK"
"BH2","UKK21","UKK2","UKK"
"BH20","UKK22","UKK2","UKK"
"BH21","UKK21","UKK2","UKK"
"BH22","UKK22","UKK2","UKK"
"BH23","UKJ36","UKJ3","UKJ"
"BH24","UKJ36","UKJ3","UKJ"
"BH25","UKJ36","UKJ3","UKJ"
"BH3","UKK21","UKK2","UKK"
"BH31","UKK22","UKK2","UKK"
"BH4","UKK21","UKK2","UKK"
"BH5","UKK21","UKK2","UKK"
"BH6","UKK21","UKK2","UKK"
"BH7","UKK21","UKK2","UKK"
"BH8","UKK21","UKK2","UKK"
"BH9","UKK21","UKK2","UKK"
"BL0","UKD37","UKD3","UKD"
"BL1","UKD36","UKD3","UKD"
"BL11","UKD36","UKD3","UKD"
"BL2","UKD36","UKD3","UKD"
"BL3","UKD36","UKD3","UKD"
"BL4","UKD36","UKD3","UKD"
"BL5","UKD36","UKD3","UKD"
"BL6","UKD36","UKD3","UKD"
"BL7","UKD41","UKD4","UKD"
"BL78","UKD36","UKD3","UKD"
"BL8","UKD37","UKD3","UKD"
"BL9","UKD37","UKD3","UKD"
"BN1","UKJ21","UKJ2","UKJ"
"BN10","UKJ22","UKJ2","UKJ"
"BN11","UKJ27","UKJ2","UKJ"
"BN12","UKJ27","UKJ2","UKJ"
"BN13","UKJ27","UKJ2","UKJ"
"BN14","UKJ27","UKJ2","UKJ"
"BN15","UKJ27","UKJ2","UKJ"
"BN16","UKJ27","UKJ2","UKJ"
"BN17","UKJ27","UKJ2","UKJ"
